# func series z0 z dz logN dlogN b db btur dbtur resol chi2r snr id
voigt SiIV 3.8889668 3.8889815 0.0000031 12.511 0.072 7.218 0.502 0.0000000e+00 0.0000000e+00 130000.000 1.398 44.081 75.0000000
voigt CIV 3.8890707 3.8890433 0.0000143 12.966 0.032 20.413 1.861 0.0000000e+00 0.0000000e+00 130000.000 1.145 38.853 32.0000000
voigt SiIV 3.8885648 3.8892887 0.0000469 12.404 0.224 17.125 8.654 0.0000000e+00 0.0000000e+00 130000.000 1.398 44.081 74.0000000
voigt OI_1302 3.8894336 3.8894052 0.0000036 14.048 0.028 5.421 0.163 0.0000000e+00 0.0000000e+00 130000.000 2.090 53.476 67.0000000
voigt SiII_1304 3.8894336 3.8894052 0.0000036 12.701 0.108 3.858 0.561 0.0000000e+00 0.0000000e+00 130000.000 2.090 53.476 68.0000000
voigt CII_1334 3.8894336 3.8894052 0.0000036 13.359 0.092 5.408 0.341 0.0000000e+00 0.0000000e+00 130000.000 2.090 53.476 69.0000000
voigt OI_1302 3.8895730 3.8895414 0.0000055 13.967 0.032 6.197 0.238 0.0000000e+00 0.0000000e+00 130000.000 2.090 53.476 70.0000000
voigt SiII_1304 3.8895730 3.8895414 0.0000055 13.424 0.023 8.438 0.352 0.0000000e+00 0.0000000e+00 130000.000 2.090 53.476 71.0000000
voigt CII_1334 3.8895730 3.8895414 0.0000055 14.031 0.022 8.764 0.226 0.0000000e+00 0.0000000e+00 130000.000 2.090 53.476 72.0000000
voigt SiIV 3.8895699 3.8895718 0.0000038 12.480 0.106 7.650 0.707 0.0000000e+00 0.0000000e+00 130000.000 1.398 44.081 76.0000000
voigt CIV 3.8895554 3.8895921 0.0000031 12.953 0.016 8.217 0.297 0.0000000e+00 0.0000000e+00 130000.000 1.145 38.853 33.0000000
voigt CIV 3.8902113 3.8900521 0.0000243 12.901 0.102 11.725 1.240 0.0000000e+00 0.0000000e+00 130000.000 1.145 38.853 34.0000000
voigt SiIV 3.8900390 3.8901043 0.0000095 12.277 0.025 13.008 0.898 0.0000000e+00 0.0000000e+00 130000.000 1.398 44.081 77.0000000
voigt CIV 3.8904024 3.8903608 0.0000293 13.039 0.073 14.176 1.374 0.0000000e+00 0.0000000e+00 130000.000 1.145 38.853 35.0000000
voigt CIV 3.9904645 3.9904355 0.0000111 12.487 0.035 10.318 1.035 0.0000000e+00 0.0000000e+00 130000.000 1.270 35.966 94.0000000
voigt CIV 3.9908878 3.9908775 0.0000052 12.678 0.021 8.066 0.466 0.0000000e+00 0.0000000e+00 130000.000 1.270 35.966 95.0000000
voigt CIV 4.0013190 4.0013538 0.0000207 12.487 0.060 13.504 2.409 0.0000000e+00 0.0000000e+00 130000.000 1.081 37.962 96.0000000
